Date	SampleID	LibraryID	FullID	Total Reads	Mapped Reads	% Mapped Reads	Genome Size	Genome GC	(Any) Total Bases	% (Any) Total Bases	(Any) GC-Content	(Any) Coverage mean	(Any) Coverage median	(Unambiguous) Total Bases	% (Unambiguous) Total Bases	(Unambiguous) GC-Content	(Unambiguous) Coverage mean	(Unambiguous) Coverage median	SNPs	Deletions	Insertions	Uncovered	Substitutions (Including Stop Codons)
'2024-05-22	'3494-04	'illumina	'3494-04_illumina	'2202575	'2177642	'98.87	'4411532	'65.61	'4380286	'0.99	'65.56	'107.46	'110	'4316417	'0.98	'65.40	'108.87	'110	'2194	'538	'216	'31246	'1187
'2024-05-22	'3496-04	'illumina	'3496-04_illumina	'2082097	'2065440	'99.20	'4411532	'65.61	'4381850	'0.99	'65.58	'106.31	'109	'4318086	'0.98	'65.41	'107.73	'109	'953	'395	'202	'29682	'494
'2024-05-22	'3497-04	'illumina	'3497-04_illumina	'2025936	'2006470	'99.04	'4411532	'65.61	'4390261	'1.00	'65.58	'98.78	'100	'4315567	'0.98	'65.39	'100.32	'101	'528	'228	'51	'21271	'277
'2024-05-22	'3734-04	'illumina	'3734-04_illumina	'1318961	'1310499	'99.36	'4411532	'65.61	'4369011	'0.99	'65.56	'67.44	'68	'4284525	'0.97	'65.35	'68.61	'68	'822	'414	'105	'42521	'413
'2024-05-22	'3736-04	'illumina	'3736-04_illumina	'1880605	'1862999	'99.06	'4411532	'65.61	'4364303	'0.99	'65.57	'92.58	'94	'4292415	'0.97	'65.40	'93.96	'95	'982	'339	'127	'47229	'500
'2024-05-22	'3859-03	'illumina	'3859-03_illumina	'2233423	'2111907	'94.56	'4411532	'65.61	'4390397	'1.00	'65.58	'107.16	'109	'4325305	'0.98	'65.40	'108.62	'109	'987	'285	'160	'21135	'490
'2024-05-22	'3861-03	'illumina	'3861-03_illumina	'1282077	'1270501	'99.10	'4411532	'65.61	'4369413	'0.99	'65.56	'64.74	'65	'4286363	'0.97	'65.35	'65.83	'66	'773	'141	'73	'42119	'410
'2024-05-22	'3865-03	'illumina	'3865-03_illumina	'4381570	'4355626	'99.41	'4411532	'65.61	'4386139	'0.99	'65.59	'220.42	'226	'4344870	'0.98	'65.47	'222.38	'227	'931	'409	'154	'25393	'502
'2024-05-22	'4139-04	'illumina	'4139-04_illumina	'4160475	'4121097	'99.05	'4411532	'65.61	'4356299	'0.99	'65.57	'209.11	'215	'4316140	'0.98	'65.45	'210.92	'215	'2295	'405	'240	'55233	'1220
'2024-05-22	'4145-04	'illumina	'4145-04_illumina	'2176143	'2160084	'99.26	'4411532	'65.61	'4379397	'0.99	'65.58	'109.46	'112	'4319539	'0.98	'65.41	'110.84	'112	'849	'368	'108	'32135	'442
'2024-05-22	'4148-04	'illumina	'4148-04_illumina	'2694074	'2673842	'99.25	'4411532	'65.61	'4384514	'0.99	'65.59	'135.70	'139	'4334802	'0.98	'65.45	'137.12	'139	'963	'350	'107	'27018	'501
'2024-05-22	'420-04	'illumina	'420-04_illumina	'1683527	'1671584	'99.29	'4411532	'65.61	'4388296	'0.99	'65.58	'83.90	'86	'4316083	'0.98	'65.39	'85.15	'86	'989	'286	'123	'23236	'503
'2024-05-22	'421-04	'illumina	'421-04_illumina	'1392185	'1377549	'98.95	'4411532	'65.61	'4348496	'0.99	'65.54	'69.47	'71	'4240984	'0.96	'65.31	'70.95	'72	'2195	'396	'217	'63036	'1198
'2024-05-22	'4514-03	'illumina	'4514-03_illumina	'1284114	'1273921	'99.21	'4411532	'65.61	'4379990	'0.99	'65.57	'65.06	'66	'4294389	'0.97	'65.37	'66.17	'66	'932	'234	'120	'31542	'483
'2024-05-22	'4516-03	'illumina	'4516-03_illumina	'1903453	'1887326	'99.15	'4411532	'65.61	'4379445	'0.99	'65.58	'95.41	'97	'4309152	'0.98	'65.40	'96.81	'98	'917	'297	'192	'32087	'479
'2024-05-22	'4518-03	'illumina	'4518-03_illumina	'2208395	'2186862	'99.02	'4411532	'65.61	'4366063	'0.99	'65.56	'110.73	'112	'4304472	'0.98	'65.40	'112.15	'113	'2133	'658	'277	'45469	'1144
'2024-05-22	'4523-03	'illumina	'4523-03_illumina	'2988519	'2967758	'99.31	'4411532	'65.61	'4378344	'0.99	'65.59	'150.35	'154	'4325524	'0.98	'65.45	'152.05	'154	'865	'381	'118	'33188	'455
'2024-05-22	'4712-04	'illumina	'4712-04_illumina	'1509501	'1492091	'98.85	'4411532	'65.61	'4347673	'0.99	'65.54	'75.45	'77	'4266829	'0.97	'65.35	'76.68	'77	'2197	'417	'252	'63859	'1173
'2024-05-22	'4714-04	'illumina	'4714-04_illumina	'1901485	'1891536	'99.48	'4411532	'65.61	'4391028	'1.00	'65.58	'111.31	'112	'4356797	'0.99	'65.49	'112.13	'113	'895	'248	'110	'20504	'456
'2024-05-22	'4717-04	'illumina	'4717-04_illumina	'1405181	'1389480	'98.88	'4411532	'65.61	'4370582	'0.99	'65.56	'70.49	'71	'4269358	'0.97	'65.35	'71.96	'72	'2117	'290	'253	'40950	'1145
'2024-05-22	'4724-03	'illumina	'4724-03_illumina	'1601083	'1593419	'99.52	'4411532	'65.61	'4364979	'0.99	'65.58	'88.97	'91	'4314420	'0.98	'65.47	'89.93	'91	'1465	'512	'284	'46553	'756
'2024-05-22	'4730-03	'illumina	'4730-03_illumina	'3885286	'3843825	'98.93	'4411532	'65.61	'4375283	'0.99	'65.60	'146.14	'149	'4322815	'0.98	'65.46	'147.78	'149	'1440	'532	'214	'36249	'753
'2024-05-22	'4779-04	'illumina	'4779-04_illumina	'2346969	'2283163	'97.28	'4411532	'65.61	'4394098	'1.00	'65.58	'114.92	'117	'4336966	'0.98	'65.42	'116.31	'118	'576	'247	'50	'17434	'312
'2024-05-22	'4781-04	'illumina	'4781-04_illumina	'2487918	'2466911	'99.16	'4411532	'65.61	'4385240	'0.99	'65.59	'124.09	'127	'4334184	'0.98	'65.44	'125.42	'127	'942	'441	'167	'26292	'472
'2024-05-22	'4783-04	'illumina	'4783-04_illumina	'1365906	'1353676	'99.10	'4411532	'65.61	'4359864	'0.99	'65.54	'69.19	'70	'4261056	'0.97	'65.33	'70.56	'71	'818	'205	'153	'51668	'410
'2024-05-22	'4785-04	'illumina	'4785-04_illumina	'2283007	'2261099	'99.04	'4411532	'65.61	'4383209	'0.99	'65.59	'115.20	'118	'4322364	'0.98	'65.43	'116.67	'118	'956	'320	'216	'28323	'485
'2024-05-22	'5248-04	'illumina	'5248-04_illumina	'2060766	'2040535	'99.02	'4411532	'65.61	'4398778	'1.00	'65.57	'99.72	'102	'4322564	'0.98	'65.41	'101.30	'103	'1001	'304	'129	'12754	'510
'2024-05-22	'5253-04	'illumina	'5253-04_illumina	'1605150	'1584368	'98.71	'4411532	'65.61	'4349394	'0.99	'65.55	'80.52	'82	'4273595	'0.97	'65.35	'81.78	'82	'2236	'463	'284	'62138	'1192
'2024-05-22	'5468-03	'illumina	'5468-03_illumina	'1944025	'1929602	'99.26	'4411532	'65.61	'4372390	'0.99	'65.56	'97.38	'99	'4307422	'0.98	'65.39	'98.71	'100	'894	'321	'143	'39142	'486
'2024-05-22	'5472-03	'illumina	'5472-03_illumina	'1348743	'1335725	'99.03	'4411532	'65.61	'4379139	'0.99	'65.58	'65.97	'67	'4284572	'0.97	'65.36	'67.22	'67	'555	'173	'80	'32393	'305
'2024-05-22	'5685-04	'illumina	'5685-04_illumina	'3097896	'3081287	'99.46	'4411532	'65.61	'4394668	'1.00	'65.59	'150.17	'154	'4351412	'0.99	'65.46	'151.56	'155	'564	'215	'69	'16864	'319
'2024-05-22	'5687-04	'illumina	'5687-04_illumina	'2444014	'2421258	'99.07	'4411532	'65.61	'4393421	'1.00	'65.59	'120.32	'123	'4338263	'0.98	'65.43	'121.72	'123	'570	'186	'52	'18111	'316
'2024-05-22	'5870-03	'illumina	'5870-03_illumina	'1967393	'1935106	'98.36	'4411532	'65.61	'4344706	'0.98	'65.54	'83.14	'81	'4257766	'0.97	'65.34	'84.62	'82	'2220	'393	'229	'66826	'1199
'2024-05-22	'5872-03	'illumina	'5872-03_illumina	'1712549	'1697467	'99.12	'4411532	'65.61	'4384324	'0.99	'65.56	'86.91	'88	'4309380	'0.98	'65.36	'88.24	'88	'974	'222	'155	'27208	'499
'2024-05-22	'6429-03	'illumina	'6429-03_illumina	'1818517	'1804695	'99.24	'4411532	'65.61	'4389503	'1.00	'65.57	'92.55	'94	'4319423	'0.98	'65.38	'93.90	'95	'965	'353	'132	'22029	'495
'2024-05-22	'6435-03	'illumina	'6435-03_illumina	'1309534	'1297407	'99.07	'4411532	'65.61	'4349238	'0.99	'65.54	'66.91	'68	'4256678	'0.96	'65.33	'68.17	'68	'2213	'348	'198	'62294	'1196
'2024-05-22	'6463-04	'illumina	'6463-04_illumina	'2148318	'2128666	'99.09	'4411532	'65.61	'4392809	'1.00	'65.58	'104.42	'106	'4329779	'0.98	'65.41	'105.80	'107	'559	'226	'112	'18723	'309
'2024-05-22	'6467-04	'illumina	'6467-04_illumina	'1953400	'1939313	'99.28	'4411532	'65.61	'4384992	'0.99	'65.60	'116.63	'119	'4345843	'0.99	'65.50	'117.62	'119	'1000	'495	'214	'26540	'512
